subject,stimulus,response,reactionTime
Agatha_Christie_62_1_0_1,"181,plop,201",1,4.34631620000582E+016
Agatha_Christie_62_1_0_1,"191,plop,196",2,6444800200022290
Agatha_Christie_62_1_0_1,"196,plop,211",2,3.83075809999136E+016
Agatha_Christie_62_1_0_1,"216,plop,196",2,6595499799959360
Agatha_Christie_62_1_0_1,"166,plop,176",2,6044825800019320
Agatha_Christie_62_1_0_1,"171,plop,166",2,6.18494549995521E+016
Agatha_Christie_62_1_0_1,"201,plop,171",2,3.10813899990171E+016
Agatha_Christie_62_1_0_1,"186,plop,196",2,1.70346030001529E+016
Agatha_Christie_62_1_0_1,"201,plop,221",1,5934660199994690
Agatha_Christie_62_1_0_1,"176,plop,191",1,5183844300010240
Agatha_Christie_62_1_0_1,"206,plop,176",2,5327803000016140
Agatha_Christie_62_1_0_1,"221,plop,211",1,5.67341399998404E+016
Agatha_Christie_62_1_0_1,"206,plop,161",2,4939309600007250
Agatha_Christie_62_1_0_1,"196,plop,161",2,6044798800046560
Agatha_Christie_62_1_0_1,"171,plop,196",1,5777495700016150
Agatha_Christie_62_1_0_1,"221,plop,191",2,5569730499957220
Agatha_Christie_62_1_0_1,"176,plop,211",1,5539713300031140
Agatha_Christie_62_1_0_1,"196,plop,176",2,6021568399993700
Agatha_Christie_62_1_0_1,"196,plop,201",1,560616250000894
Agatha_Christie_62_1_0_1,"191,plop,171",2,5524904800020160
Agatha_Christie_62_1_0_1,"216,plop,221",1,6260234399954790
Agatha_Christie_62_1_0_1,"181,plop,191",2,4873046099988280
Agatha_Christie_62_1_0_1,"206,plop,196",2,497514480005484
Agatha_Christie_62_1_0_1,"196,plop,181",2,4850872700009490
Agatha_Christie_62_1_0_1,"171,plop,176",1,5398202300036790
Agatha_Christie_62_1_0_1,"161,plop,221",1,5367257599974980
Agatha_Christie_62_1_0_1,"166,plop,186",1,5887004699988760
Agatha_Christie_62_1_0_1,"191,plop,166",2,5293826700036880
Agatha_Christie_62_1_0_1,"206,plop,181",2,5068966500018720
Agatha_Christie_62_1_0_1,"181,plop,166",2,5369271900004240
Agatha_Christie_62_1_0_1,"201,plop,166",2,4668873800046280
Agatha_Christie_62_1_0_1,"176,plop,161",2,4794167000008750
Agatha_Christie_62_1_0_1,"216,plop,201",2,4490223100024740
Agatha_Christie_62_1_0_1,"176,plop,201",1,6351963199989400
Agatha_Christie_62_1_0_1,"166,plop,206",1,4705417799961290
Agatha_Christie_62_1_0_1,"186,plop,216",1,4451910599973050
Agatha_Christie_62_1_0_1,"206,plop,201",2,5623411700036380
Agatha_Christie_62_1_0_1,"221,plop,186",2,511158230000874
Agatha_Christie_62_1_0_1,"201,plop,186",2,4769849400001110
Agatha_Christie_62_1_0_1,"186,plop,181",2,5305293599981810
Agatha_Christie_62_1_0_1,"171,plop,216",1,5090091399988160
Agatha_Christie_62_1_0_1,"171,plop,186",1,5538749799970540
Agatha_Christie_62_1_0_1,"201,plop,211",1,5366474200005180
Agatha_Christie_62_1_0_1,"216,plop,161",2,530346759998938
Agatha_Christie_62_1_0_1,"201,plop,191",2,6129549800034150
Agatha_Christie_62_1_0_1,"191,plop,216",1,5389832899987230
Agatha_Christie_62_1_0_1,"186,plop,176",2,5440415799990300
Agatha_Christie_62_1_0_1,"211,plop,171",2,4515268499986270
Agatha_Christie_62_1_0_1,"191,plop,186",2,4781103900016750
Agatha_Christie_62_1_0_1,"216,plop,181",2,4749983400013300
Agatha_Christie_62_1_0_1,"161,plop,171",1,4983642200031320
Agatha_Christie_62_1_0_1,"181,plop,171",1,8604214000166390
Agatha_Christie_62_1_0_1,"166,plop,161",2,5551088299974800
Agatha_Christie_62_1_0_1,"181,plop,221",1,7077438100031580
Agatha_Christie_62_1_0_1,"211,plop,206",2,5.77401310004061E+016
Agatha_Christie_62_1_0_1,"211,plop,166",2,4562840899999720
Agatha_Christie_62_1_0_1,"181,plop,211",1,5128178200009280
Agatha_Christie_62_1_0_1,"161,plop,211",1,5512907299993090
Agatha_Christie_62_1_0_1,"191,plop,206",1,5328477599972390
Agatha_Christie_62_1_0_1,"211,plop,191",2,5460753700020720
Agatha_Christie_62_1_0_1,"161,plop,201",1,4665989100025040
Agatha_Christie_62_1_0_1,"171,plop,206",1,5038427200017030
Agatha_Christie_62_1_0_1,"186,plop,161",2,6207924699957950
Agatha_Christie_62_1_0_1,"211,plop,216",2,5357739000022410
Agatha_Christie_62_1_0_1,"216,plop,176",2,5217727999982890
BASSMANN_62_0_0_0,"221,plop,166",2,4.69796908905264E+016
BASSMANN_62_0_0_0,"176,plop,161",2,6677198086888530
BASSMANN_62_0_0_0,"211,plop,186",2,3582251058332620
BASSMANN_62_0_0_0,"161,plop,211",1,4987222890974950
BASSMANN_62_0_0_0,"221,plop,191",2,4360431885719300
BASSMANN_62_0_0_0,"211,plop,216",1,5099020993011070
BASSMANN_62_0_0_0,"221,plop,171",2,3.82539593966212E+016
BASSMANN_62_0_0_0,"196,plop,181",2,3.56299502183683E+016
BASSMANN_62_0_0_0,"166,plop,206",1,4588587969448420
BASSMANN_62_0_0_0,"166,plop,161",1,4772220113221560
BASSMANN_62_0_0_0,"206,plop,181",1,3475520883128050
BASSMANN_62_0_0_0,"186,plop,161",2,3297776938439350
BASSMANN_62_0_0_0,"166,plop,186",1,4105517905694430
BASSMANN_62_0_0_0,"221,plop,211",1,7732690945989450
BASSMANN_62_0_0_0,"186,plop,206",1,3.44853303956334E+016
BASSMANN_62_0_0_0,"161,plop,181",1,5563700947817410
BASSMANN_62_0_0_0,"201,plop,221",1,4321328938147050
